RA,DEC,mag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,color,V,I,color_err,V_err,I_err,catalog
265.96361201016,-39.08165729515,14.519963,14.998555,13.87193,0.002763,0.002942,0.003836,1.1266249999999989,14.76513161735625,13.785514644006096,0.004834279677470057,0.04598125680309389,0.049701775476127995,Gaia3
265.94837644587,-39.07687206036,14.455843,14.922801,13.819274,0.002763,0.003034,0.003838,1.1035269999999997,14.691931277861062,13.7335699245843,0.004892381833013445,0.04598058861375466,0.049704471160510404,Gaia3
266.05424275523,-39.14633741364,13.891905,14.174948,13.437037,0.002777,0.00295,0.003856,0.7379110000000004,14.008876659387116,13.376040841836032,0.004855021730126447,0.04595967533158946,0.049723076012184474,Gaia3
266.03628445936,-39.13489034232,14.144641,14.476141,13.637571,0.002767,0.003081,0.003866,0.8385700000000007,14.28978776869668,13.56938107480032,0.004943532846052507,0.045964911595601884,0.04972003248475873,Gaia3
266.07708868759,-39.10174886759,12.62492,13.579211,11.666456,0.002759,0.002871,0.003788,1.9127550000000006,13.28931650801233,11.537359883566307,0.004753060592923259,0.046050978398001506,0.0496684675577471,Gaia3
266.02534774708,-39.12345691597,13.497992,13.942845,12.843675,0.002878,0.002874,0.0038,1.0991700000000009,13.732388162317479,12.77802708128796,0.004764438686770982,0.04598531891242236,0.04970771730709282,Gaia3
266.00572654252,-39.11287038755,13.029067,13.453043,12.424829,0.002775,0.002846,0.003796,1.0282139999999984,13.236831750000666,12.347206279709654,0.004744400067447938,0.045974159762394114,0.0497046452709209,Gaia3
266.06202898821,-39.09010282397,12.151931,12.949655,11.279412,0.002761,0.002879,0.003798,1.6702429999999993,12.664166929791286,11.160604850109209,0.004765862461297011,0.04602568720722127,0.049677225824187814,Gaia3
266.02858949825,-39.09190842321,14.425877,14.964011,13.726999,0.002761,0.003013,0.003834,1.237012,14.71699331510654,13.63466123285515,0.0048762408677176725,0.04599006517811808,0.04969756232287028,Gaia3
266.08570837024,-39.0903362384,13.214824,14.151821,12.25877,0.002763,0.002954,0.003799,1.8930509999999998,13.866097139605694,12.134660032653164,0.004812329685297964,0.04605169067967517,0.04967015015526817,Gaia3
266.10750554048,-39.08535083269,14.21071,14.660815,13.586035,0.002763,0.002953,0.003867,1.0747799999999987,14.43575532558288,13.503733411781406,0.004865583007204789,0.045978188472740246,0.049705137426991175,Gaia3
266.10946661907,-39.06851827702,13.484248,14.974739,12.306859,0.002791,0.003589,0.003857,2.6678800000000003,14.752915152670079,12.169592313607664,0.005268526359429172,0.046203956057279935,0.049653060168485606,Gaia3
266.11363446746,-39.07313001403,12.526051,13.612495,11.503791,0.002766,0.002922,0.003816,2.1087039999999995,13.328273468765492,11.369008684216618,0.004806239694397274,0.04607781267996217,0.04966334588424192,Gaia3
266.12355640688,-39.07425912711,13.235872,14.027036,12.361822,0.002763,0.002892,0.003794,1.6652140000000006,13.74516817175587,12.246661359992814,0.00477054504223574,0.04602546995882752,0.0496776030498054,Gaia3
266.09786464512,-39.06655178592,14.39873,14.880978,13.75106,0.002763,0.002961,0.003856,1.129918,14.645208221220598,13.66255422727839,0.0048617133811034155,0.045981946149522966,0.049702354479652086,Gaia3
266.06451237872,-39.07633110344,12.984013,13.401794,12.391616,0.002765,0.002836,0.003804,1.0101779999999998,13.185286422359667,12.311992405075086,0.004744819490770961,0.04597246179739761,0.04970495832761556,Gaia3
266.07439897156,-39.06810008523,12.962322,13.835614,12.041417,0.002763,0.002932,0.003795,1.7941970000000005,13.54978573733692,11.920392895972856,0.00479569066975759,0.04603988834333209,0.049673331114650957,Gaia3
266.09360816342,-39.04835804274,13.831409,14.127681,13.363844,0.002768,0.00287,0.003802,0.7638370000000005,13.955301935736951,13.300060106665022,0.004763622990959717,0.045959657273018775,0.049718032733131176,Gaia3
266.01147797338,-39.06860415158,11.60992,13.00745,10.455726,0.002798,0.003014,0.003876,2.551724,12.772781185100884,10.323048821694272,0.0049099462318848265,0.046150990681339515,0.049654141768311934,Gaia3
265.98340387494,-39.0811300412,13.034179,13.266787,12.654459,0.002779,0.00289,0.003824,0.6123280000000015,13.120920144463948,12.595153865569735,0.004793232312333714,0.04595411423328804,0.049727869927541656,Gaia3
266.009339862,-39.05240791594,14.127657,14.531372,13.545775,0.002762,0.002924,0.003832,0.9855969999999985,14.320264925938037,13.469148259003653,0.004820165972246184,0.0459717621929237,0.04970817970684579,Gaia3
266.00412935054,-39.04591200635,13.784205,14.194939,13.163976,0.002808,0.002906,0.00392,1.0309629999999999,13.99296903749631,13.10084997646671,0.004879675808903702,0.045978208660416894,0.04971023390146082,Gaia3
265.99666872061,-39.04821921685,11.67277,12.4136,10.832784,0.00277,0.002847,0.003789,1.5808160000000004,12.134037599678258,10.71978929884219,0.004739401860994697,0.046016674259516256,0.04968061947991323,Gaia3
266.01148672014,-39.05266500179,14.548616,14.956021,13.963176,0.002764,0.003036,0.003868,0.9928449999999991,14.74375729150513,13.88611102889655,0.004917186187241643,0.045973590191233114,0.0497108124561235,Gaia3
266.05065460753,-39.04808007894,12.299607,12.860244,11.585836,0.002761,0.002829,0.003791,1.2744079999999993,12.607246286860365,11.48969229272719,0.004730213737242747,0.04598995909199048,0.04969236072563393,Gaia3
266.04846819232,-39.03004991513,13.049459,13.508353,12.421646,0.002763,0.002852,0.00381,1.0867069999999988,13.279051250406647,12.336116647621699,0.004759202033954852,0.04597736361430049,0.04970163189349827,Gaia3
266.07137532261,-39.034020362,13.228812,13.895656,12.424291,0.002759,0.00288,0.003795,1.4713650000000005,13.631468835530569,12.3248592666082,0.0047640765107206245,0.04600678187853065,0.04968477308358419,Gaia3
266.06404194267,-39.03753592508,14.495745,14.896445,13.915235,0.002766,0.003075,0.003822,0.9812100000000008,14.686828395302118,13.83965997480347,0.004905436677809632,0.045972820280946666,0.049711170308766206,Gaia3
265.96706295944,-39.0490005818,13.327999,14.22769,12.394621,0.002762,0.002854,0.003802,1.833069,13.940150440597405,12.270810380948273,0.004754000420698341,0.046042319056950116,0.04967130874028539,Gaia3
