RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.06810523683,-39.15674522942,15.207934,0.002803,0.043,-2.489,0.2806,Gaia
266.08616771179,-39.1524359575,15.136529,0.002773,-4.469,-3.269,0.0375,Gaia
266.09088612984,-39.14683020737,15.39679,0.002777,-4.425,-6.896,0.82,Gaia
266.08611149863,-39.1456288067,15.501488,0.002801,-0.913,-6.753,-0.0485,Gaia
266.0931572483,-39.1551952998,14.807453,0.002779,2.603,-1.692,0.1929,Gaia
266.08716025719,-39.14361637069,14.732031,0.002764,1.342,0.967,1.0318,Gaia
266.10464889353,-39.13829760422,14.975678,0.002774,-0.685,-7.392,0.0837,Gaia
266.10692318829,-39.13722942354,15.767772,0.002833,-1.284,-7.034,0.1148,Gaia
266.10638412806,-39.13284227745,14.717449,0.002765,-3.703,-0.725,1.1362,Gaia
266.09940550534,-39.13347377211,12.975939,0.002761,2.171,-1.263,0.4574,Gaia
266.09846537915,-39.13090234296,13.682173,0.002762,-3.273,0.641,1.0441,Gaia
266.09888507965,-39.13663589691,15.97435,0.002784,-3.783,-15.701,0.6213,Gaia
266.10093821769,-39.12804053431,14.655868,0.002836,-2.317,-6.918,0.0412,Gaia
266.09636806337,-39.13009588195,15.998189,0.002909,0.267,-0.747,0.7145,Gaia
266.07911191158,-39.14501982954,13.774964,0.002801,0.207,2.097,0.7459,Gaia
266.07686031776,-39.1420138213,15.994563,0.002841,1.633,-4.384,0.6723,Gaia
266.08796921377,-39.13802208096,15.842463,0.00285,-3.013,-7.177,-0.2634,Gaia
266.08093473854,-39.14492847366,14.932314,0.002769,1.197,-0.556,0.6482,Gaia
266.08973602726,-39.12614383563,15.709316,0.002784,-3.248,-5.895,0.0786,Gaia
266.08103388547,-39.12784632181,14.390778,0.002866,-2.581,-6.862,0.0632,Gaia
266.12783198211,-39.14777281718,15.164323,0.002773,-3.656,-3.642,0.2103,Gaia
266.14130844399,-39.15159396038,15.714868,0.002779,-2.471,-3.406,0.0938,Gaia
266.13866180923,-39.14775779719,15.179617,0.002774,-0.964,-6.849,0.0585,Gaia
266.12716777932,-39.15258050172,15.296975,0.002789,-2.657,-8.57,0.0702,Gaia
266.12951972553,-39.14557674084,14.219974,0.002795,-1.038,-6.998,0.2292,Gaia
266.13078912373,-39.13837592204,15.884886,0.002776,-3.44,-3.568,0.4351,Gaia
266.11925051245,-39.13323140668,15.845532,0.002786,-1.968,-1.492,0.1232,Gaia
266.13583208724,-39.13267882811,14.696781,0.002763,-5.327,-13.429,1.0252,Gaia
266.12902860591,-39.12854511712,12.766172,0.002763,-1.256,-3.15,0.9382,Gaia
266.13474698548,-39.11797814807,15.818641,0.002782,-4.886,-6.972,0.1266,Gaia
266.13201230919,-39.13476283998,15.185637,0.002771,-9.641,-4.701,1.1415,Gaia
266.14709657178,-39.12694784867,13.342212,0.00276,-2.311,1.432,0.4517,Gaia
266.15623942866,-39.12368368278,14.433712,0.002831,-2.087,-6.962,0.0027,Gaia
266.14959038346,-39.12444484633,15.041468,0.002783,-1.855,-11.19,0.2909,Gaia
266.15325492551,-39.11735625788,13.915468,0.002762,0.78,1.079,0.3366,Gaia
266.14279208464,-39.1060015496,14.80778,0.002769,-0.456,-2.221,0.2238,Gaia
266.14720540181,-39.11021165613,14.752867,0.002767,-0.639,-3.704,0.5613,Gaia
266.13564624577,-39.11594314416,14.004065,0.002771,-0.608,-1.486,0.13,Gaia
266.15374213212,-39.092192382,15.270574,0.002779,-1.545,-1.903,0.143,Gaia
266.15550889578,-39.10285928224,15.659137,0.002849,-10.444,-13.825,5.015,Gaia
266.10964136172,-39.12251493556,15.897605,0.002791,0.485,-1.978,0.1603,Gaia
266.10676523352,-39.11860402106,15.941539,0.002788,-0.609,-2.127,0.1494,Gaia
266.12561609652,-39.11074307005,15.11793,0.002779,1.116,-5.442,0.1008,Gaia
266.11385681623,-39.11247724299,10.493407,0.00276,-9.199,-21.036,1.3356,Gaia
266.09793352575,-39.12170384416,13.284759,0.002763,-1.091,-3.602,0.3906,Gaia
266.10655259594,-39.11746106893,15.823184,0.002786,-3.359,-2.931,0.0622,Gaia
