Timestamp,Telescope,Filter,Magnitude,Error,Source
2025-02-27 08:46:14,,OMEGA_apphot_gp,20.084397816,0.064,OMEGA_apphot_gp
2025-02-27 08:46:05,,OMEGA_apphot_gp,20.129698279,0.061,OMEGA_apphot_gp
2025-02-27 08:46:05,,OMEGA_cal_apphot_gp,18.335575869,0.061,OMEGA_cal_apphot_gp
2025-02-27 08:40:48,,OMEGA_cal_apphot_gp,18.321500579,0.054,OMEGA_cal_apphot_gp
2025-02-27 08:40:48,,OMEGA_apphot_gp,20.114459628,0.054,OMEGA_apphot_gp
2025-02-27 08:40:39,,OMEGA_cal_apphot_gp,18.338320088,0.057,OMEGA_cal_apphot_gp
2025-02-27 08:40:39,,OMEGA_apphot_gp,20.132669316,0.057,OMEGA_apphot_gp
2025-02-27 08:36:48,,OMEGA_apphot_ip,18.767782879,0.096,OMEGA_apphot_ip
2025-02-27 08:36:48,,OMEGA_cal_apphot_ip,16.570445196,0.095,OMEGA_cal_apphot_ip
2025-02-27 08:36:38,,OMEGA_apphot_ip,18.734913888,0.06,OMEGA_apphot_ip
2025-02-27 08:36:38,,OMEGA_cal_apphot_ip,16.53826775,0.061,OMEGA_cal_apphot_ip
2025-02-27 08:34:22,,OMEGA_cal_apphot_ip,16.569165019,0.079,OMEGA_cal_apphot_ip
2025-02-27 08:34:22,,OMEGA_apphot_ip,18.766475189,0.08,OMEGA_apphot_ip
2025-02-27 08:34:13,,OMEGA_apphot_ip,18.732635314,0.044,OMEGA_apphot_ip
2025-02-27 08:34:13,,OMEGA_cal_apphot_ip,16.536037115,0.045,OMEGA_cal_apphot_ip
2025-02-27 08:31:57,,OMEGA_cal_apphot_ip,16.57848259,0.056,OMEGA_cal_apphot_ip
2025-02-27 08:31:57,,OMEGA_apphot_ip,18.775993009,0.055,OMEGA_apphot_ip
2025-02-27 08:31:48,,OMEGA_cal_apphot_ip,16.543372322,0.046,OMEGA_cal_apphot_ip
2025-02-27 08:31:48,,OMEGA_apphot_ip,18.740128166,0.044,OMEGA_apphot_ip
2025-02-27 08:29:31,,OMEGA_apphot_ip,18.764473894,0.063,OMEGA_apphot_ip
2025-02-27 08:29:31,,OMEGA_cal_apphot_ip,16.56720583,0.063,OMEGA_cal_apphot_ip
2025-02-27 08:29:23,,OMEGA_cal_apphot_ip,16.553098652,0.058,OMEGA_cal_apphot_ip
2025-02-27 08:29:23,,OMEGA_apphot_ip,18.750063531,0.057,OMEGA_apphot_ip
2025-02-27 07:51:15,,OGLE_I,16.161,0.011,OGLE
2025-02-27 07:46:21,,OMEGA_cal_apphot_gp,18.28818388,0.06,OMEGA_cal_apphot_gp
2025-02-27 07:46:21,,OMEGA_apphot_gp,20.078389213,0.061,OMEGA_apphot_gp
2025-02-27 07:46:18,,OMEGA_apphot_gp,20.10776142,0.054,OMEGA_apphot_gp
