night,filename,band,exptime,use_image,cut_reasons,n_good,fwhm_median,ellip_median,theta_concentration,snr_median
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0031_wcs.fits,V,90.0,True,,181,6.33,0.138,0.4362783191137722,34.3
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0034_wcs.fits,V,90.0,True,,133,6.66,0.182,0.6226989965617008,33.48
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0001_wcs.fits,I,90.0,True,,948,5.3,0.305,0.8541058531900118,31.19
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0002_wcs.fits,I,90.0,False,"trailing (ellip=0.42, θ_c=0.92)",809,7.01,0.418,0.9172845529883928,30.67
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0003_wcs.fits,I,90.0,True,,830,5.6850000000000005,0.295,0.8579531155701137,29.42
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0004_wcs.fits,I,90.0,True,,1020,3.85,0.2045,0.7345989918509213,31.115
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0005_wcs.fits,I,90.0,True,,948,5.03,0.242,0.8348625028728319,30.995
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0006_wcs.fits,I,90.0,True,,950,4.48,0.172,0.7034342013004603,32.16
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0007_wcs.fits,I,90.0,False,"trailing (ellip=0.43, θ_c=0.91)",778,7.73,0.429,0.91457945376011,30.85
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0008_wcs.fits,I,90.0,True,,1100,3.71,0.1115,0.3892112995932297,33.465
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0009_wcs.fits,I,90.0,True,,871,5.77,0.317,0.8938538124111649,30.51
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0010_wcs.fits,I,90.0,False,"high_ellipticity (0.511), trailing (ellip=0.51, θ_c=0.95)",755,8.43,0.511,0.9527981652707984,29.41
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0011_wcs.fits,I,90.0,True,,729,5.69,0.215,0.7857935588805445,28.52
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0012_wcs.fits,I,90.0,True,,547,5.85,0.255,0.7458882710515056,28.82
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0013_wcs.fits,I,90.0,False,"trailing (ellip=0.38, θ_c=0.87)",613,7.05,0.375,0.8693991939088904,27.08
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0014_wcs.fits,I,90.0,False,"trailing (ellip=0.37, θ_c=0.88)",752,6.36,0.372,0.8828957243777619,27.795
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0015_wcs.fits,I,90.0,True,,840,5.49,0.3015,0.8626705602802933,29.12
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0016_wcs.fits,I,90.0,False,"high_ellipticity (0.468), trailing (ellip=0.47, θ_c=0.95)",589,8.03,0.468,0.945821975326014,30.06
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0017_wcs.fits,I,90.0,False,"trailing (ellip=0.38, θ_c=0.90)",808,6.08,0.381,0.9041490583081088,27.11
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0018_wcs.fits,I,90.0,False,"high_ellipticity (0.468), trailing (ellip=0.47, θ_c=0.94)",656,7.22,0.4675,0.9383769051373346,28.08
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0019_wcs.fits,I,90.0,True,,661,3.17,0.131,0.5983353450178507,28.7
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0020_wcs.fits,I,90.0,False,"trailing (ellip=0.37, θ_c=0.93)",728,5.12,0.3695,0.9321970245524928,26.505
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0021_wcs.fits,I,90.0,True,,885,3.25,0.164,0.7175342565640036,28.1
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0022_wcs.fits,I,90.0,True,,769,4.9,0.258,0.8403812023842925,27.31
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0023_wcs.fits,I,90.0,True,,828,4.16,0.188,0.7224869873067176,27.36
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0024_wcs.fits,I,90.0,False,"trailing (ellip=0.35, θ_c=0.92)",796,5.835,0.3545,0.9173164765274804,27.505
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0025_wcs.fits,I,90.0,True,,746,5.11,0.2695,0.8051105136261686,26.65
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0026_wcs.fits,I,90.0,True,,695,5.94,0.339,0.9074699923021968,28.51
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0027_wcs.fits,I,90.0,True,,914,4.17,0.167,0.6614289345161944,29.075
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0028_wcs.fits,I,90.0,True,,859,3.77,0.138,0.5199379025624558,27.62
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0029_wcs.fits,I,90.0,False,high_ellipticity (0.457),372,9.215,0.457,0.8468952459417881,31.175
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0030_wcs.fits,I,90.0,True,,970,4.56,0.247,0.8349814621049353,29.415
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0031_wcs.fits,I,90.0,True,,936,4.23,0.178,0.7091943885611515,28.54
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0032_wcs.fits,I,90.0,True,,949,4.24,0.234,0.8256068102901586,28.61
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0033_wcs.fits,I,90.0,True,,866,3.995,0.145,0.5962556610534447,27.995
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0034_wcs.fits,I,90.0,False,"trailing (ellip=0.39, θ_c=0.93)",663,6.38,0.391,0.925944939328466,27.09
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0035_wcs.fits,I,90.0,False,"trailing (ellip=0.36, θ_c=0.88)",690,5.81,0.362,0.8830813556669533,27.29
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034i0036_wcs.fits,I,90.0,False,"trailing (ellip=0.43, θ_c=0.87)",450,7.470000000000001,0.434,0.8660408324797398,27.02
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0001_wcs.fits,V,90.0,True,,316,3.605,0.168,0.6950680823345657,26.335
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0002_wcs.fits,V,90.0,True,,372,4.51,0.273,0.7892896801494427,26.765
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0003_wcs.fits,V,90.0,False,"trailing (ellip=0.39, θ_c=0.87)",294,5.78,0.389,0.8705257306830525,26.285
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0004_wcs.fits,V,90.0,True,,322,5.345000000000001,0.337,0.8543750989838368,25.83
20250605,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250605/FBOGLE-2024-BLG-0034v0005_wcs.fits,V,90.0,True,,445,4.15,0.185,0.640018296974154,25.95
