night,filename,filter,exptime,n_detected,n_good,fwhm_p25,fwhm_median,fwhm_p75,ellip_p25,ellip_median,ellip_p75,theta_mean,theta_concentration,snr_median,snr_p75,snr_max,mag_peak,mag_median
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0038_wcs.fits,I,90.0,474,379,6.43,6.86,7.6850000000000005,0.2925,0.342,0.3965,0.4402742771788191,0.853787180168667,29.72,56.915,864.8,15.767256249999999,15.2874
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0039_wcs.fits,I,90.0,355,288,4.7875,5.1,5.665,0.19075,0.231,0.28725,-1.2537269966989326,0.740981991198741,27.31,53.269999999999996,643.5,15.9595375,15.48275
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0040_wcs.fits,I,90.0,469,374,4.7,5.11,5.7875,0.091,0.143,0.217,10.54255616765467,0.5639789360717616,28.689999999999998,55.629999999999995,797.2,15.87826875,15.48825
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0041_wcs.fits,I,90.0,529,417,4.98,5.33,6.07,0.154,0.196,0.264,-16.412930053228635,0.7102534357879022,28.08,52.04,887.0,15.44219375,15.4084
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0042_wcs.fits,I,90.0,592,447,5.79,6.95,7.69,0.2865,0.373,0.418,-0.26498753194543045,0.8512950872125886,28.76,54.405,978.5,15.6300375,15.3568
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0043_wcs.fits,I,90.0,758,567,7.115,7.64,8.535,0.309,0.361,0.426,4.828432936965907,0.8654918507621779,30.12,56.445,1174.0,15.56696875,15.2645
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0044_wcs.fits,I,90.0,548,423,4.66,5.08,5.79,0.0845,0.131,0.214,-6.3850415500441935,0.5097463720486727,28.27,53.785,845.7,16.086831250000003,15.5787
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0045_wcs.fits,I,90.0,169,128,6.137499999999999,6.64,7.7325,0.26425,0.3125,0.3605,-1.4641793821737696,0.8509852489803328,29.060000000000002,56.1825,415.0,15.41932125,15.253350000000001
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034i0046_wcs.fits,I,90.0,132,107,4.52,4.96,5.425000000000001,0.128,0.169,0.23399999999999999,-10.369477875795445,0.6041480169291875,28.62,45.46,303.8,15.944775,15.4652
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0001_wcs.fits,V,90.0,205,151,4.470000000000001,4.86,5.41,0.0845,0.147,0.248,-17.470509061997387,0.47725487742819933,28.85,58.29,411.5,16.36142125,16.0653
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0002_wcs.fits,V,90.0,158,106,5.592499999999999,6.57,7.225,0.21475,0.2765,0.3895,-2.308644484255184,0.7074123279506171,37.65,55.89,210.5,16.2874825,15.9047
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0003_wcs.fits,V,90.0,156,100,5.3774999999999995,6.995,7.7675,0.2105,0.26,0.40774999999999995,-1.368036642577624,0.6795988889355538,39.105000000000004,60.435,162.7,16.34411,15.6934
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0004_wcs.fits,V,90.0,372,295,5.15,5.69,6.6899999999999995,0.141,0.203,0.2915,-2.3462250900642094,0.606172754615577,28.69,51.239999999999995,629.0,16.42195625,16.0109
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0005_wcs.fits,V,90.0,272,185,6.71,7.7,8.68,0.258,0.316,0.397,-11.321178086881314,0.7126036869551542,32.0,66.27,609.3,16.34768125,15.757
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0006_wcs.fits,V,90.0,212,153,4.91,5.32,5.89,0.117,0.176,0.255,-9.670154158098407,0.5973358554642608,30.35,62.96,427.7,16.07360375,16.0169
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0007_wcs.fits,V,90.0,471,355,4.955,5.43,6.635,0.0755,0.142,0.252,-14.633187636274556,0.3002674156913409,27.11,52.980000000000004,707.3,16.33604375,16.1104
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0010_wcs.fits,V,90.0,178,121,5.07,8.29,9.07,0.291,0.339,0.441,-0.1524711740577813,0.7487226669178699,40.09,67.68,395.5,15.8913875,15.6918
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0013_wcs.fits,V,90.0,175,108,5.092499999999999,9.29,10.872499999999999,0.40774999999999995,0.469,0.52375,0.18548794402724303,0.6851986630125152,43.815,68.955,423.1,14.97455125,15.76415
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0014_wcs.fits,V,90.0,164,120,4.869999999999999,5.665,6.3325,0.117,0.175,0.2665,-11.096424966673831,0.46751389676430893,37.55,58.9975,353.7,15.370916249999999,15.9712
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0015_wcs.fits,V,90.0,265,210,4.6525,4.98,5.8375,0.08375,0.1355,0.2645,-1.8151570655872429,0.35149975319075794,32.0,66.1225,313.1,15.85348625,16.091450000000002
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0016_wcs.fits,V,90.0,167,120,6.01,6.5,7.25,0.19175,0.246,0.336,-12.035158315766648,0.7083498470853822,36.144999999999996,66.0125,307.6,16.259173750000002,15.777899999999999
