RA,DEC,B,B_err,V,V_err,R,R_err,I,I_err
276.8579558,-26.66495361,16.054755,0.03544335198595076,14.88501,0.015621421190147842,14.217685,0.018029004409561834,13.529115000000001,0.0188693190126194
276.86034776,-26.66558496,19.335223000000003,0.17546857975147573,18.428145999999998,0.11465658079674276,17.903601,0.11502426048447345,17.397279,0.10132571480132771
276.86250465,-26.6611423,18.276942,0.1152476230731029,17.328684,0.1027192317728282,16.781754,0.10312159521652095,16.253766,0.10228763866665415
276.86251256,-26.66277882,18.710789,0.03573871116870333,17.783678,0.01562151798001718,17.248243,0.018029135447935378,16.716597,0.02000141434999035
276.86339478,-26.65946495,19.511141,0.15101325564333748,18.477182,0.11465157268873376,17.883667,0.11501646023504636,17.308293,0.10823058199972871
276.86496524,-26.66544457,19.103500000000004,0.036060129339756955,18.34,0.0169717845850105,17.8935,0.019211059314884225,17.464499999999997,0.02262904611334733
276.86521795,-26.65940725,18.330764000000002,0.035739422770940214,17.487128000000002,0.016971687011019265,16.997068,0.019210924626368194,16.450771999999997,0.020001695928095697
276.86633128,-26.66437335,19.622467999999998,0.041627649705454184,18.565136,0.017694837665262714,17.958916,0.01985365520502459,17.402164,0.020620153248703074
276.86827419,-26.6645885,18.880458,0.038019738925984224,18.079116,0.016972399712474367,17.612046,0.019211908416396327,17.079434,0.03053049046445209
276.87018091,-26.66211726,19.487502000000003,0.03848290591938192,18.672804000000003,0.025062249539895654,18.198474,0.026630467513733214,17.865645999999998,0.020005170531640065
276.87096477,-26.66537491,18.829665,0.035739050798811095,17.73783,0.016279890908725402,17.112855,0.018602538805227633,16.439545,0.018869603917411725
276.87228609,-26.65991082,19.533242,0.03650219116710667,18.696284,0.07991197056761896,18.209854,0.08042040941203918,17.674666000000002,0.02338035414616297
276.87584711,-26.66162371,16.830029,0.03517398521634988,15.324158,0.01562133361784454,14.474123,0.018028885850212707,13.717116999999998,0.020001158366454677
276.87672088,-26.66354938,17.063826000000002,0.03544335198595076,15.746052,0.015621421190147842,14.998261999999999,0.018029004409561834,14.338297999999998,0.02000127995904262
276.88049968,-26.66154463,18.582296,0.036774205307525,17.475992,0.015621863653226526,16.843151999999996,0.01802960343435207,16.194608,0.020001894310289713
276.88109576,-26.66502016,19.440212999999996,0.21093756061925054,18.789126,0.1465240578198679,18.403731,0.14681801830838065,18.036549,0.13302831458001715
276.88157133,-26.65959712,19.288749000000003,0.038019738925984224,18.272598000000002,0.016972399712474367,17.688762999999998,0.019211908416396327,16.969677,0.022629866283299157
276.88613441,-26.66537135,19.610791000000003,0.036059760675855854,18.632482,0.01627999262899096,18.069216999999995,0.018602677898625238,17.556743,0.018869759934879934
276.89003509,-26.66198174,18.507401000000005,0.11429452188097206,17.495702,0.104705627203126,16.914286999999998,0.1051004606317213,16.352273,0.10426317869698774
276.89497738,-26.66156407,19.478225000000002,0.13159647686773382,18.519949999999998,0.11067097621327825,17.967574999999997,0.11104661870133642,17.434425,0.10723444700281715
276.89594834,-26.65869536,19.067176000000003,0.03758206401995505,17.693752,0.015622140186286897,16.915711999999996,0.01802997781473954,16.181848,0.02000227827023712
276.89784124,-26.66040957,19.339473,0.17450735646384655,18.710646,0.13854585176034684,18.337350999999998,0.13885195038241271,17.981529,0.13301263458784657
276.89791663,-26.66275211,19.364072,0.03677665716184657,18.426944,0.020001627133810887,17.886063999999998,0.021934030637345246,17.400256,0.02061833436531671
276.90198008,-26.66025856,19.309545999999997,0.2060006714746338,18.481492,0.14353354573757313,17.999901999999995,0.14383279546056246,17.536858,0.13004916165819755
276.90697202,-26.65893041,19.162826999999997,0.1315974475436359,18.375954,0.11166511003890159,17.916749,0.11203749930268883,17.476371,0.10921210189351727
276.90717219,-26.66084947,17.476348,0.03574123405815754,16.151896,0.02000135715395333,15.400476,0.021933645957751758,14.714404,0.01941897299035147
276.91054727,-26.66051722,18.664683999999998,0.03573871116870333,17.642968,0.01562151798001718,17.056108,0.018029135447935378,16.485932,0.02000141434999035
276.91073966,-26.65894614,17.290541,0.03544335198595076,16.033982,0.015621421190147842,15.319467,0.018029004409561834,14.632493,0.02000127995904262
276.9121095,-26.66370473,17.451199000000003,0.035739050798811095,16.045498000000002,0.016279890908725402,15.249913,0.018602538805227633,14.541527000000002,0.018869603917411725
276.91482511,-26.66052592,19.095746,0.03640482061485814,17.599892,0.01562173921175232,16.755302,0.018029434960641445,15.996458,0.019418261096194992
276.91499898,-26.66432446,19.05125,0.03640482061485814,18.0095,0.01562173921175232,17.411749999999998,0.018029434960641445,16.852249999999998,0.020001721525908712
276.91625599,-26.6665835,19.436876,0.03640551919695694,17.952152,0.016971890643060365,17.113612,0.019211205714374097,16.397948,0.018870085532397565
276.91914269,-26.66132686,18.358961000000004,0.036059760675855854,17.480822,0.01627999262899096,16.972006999999998,0.018602677898625238,16.480153,0.01941823472924354
276.92115761,-26.66047938,17.612286,0.03573982708408087,16.761972,0.017692986180970132,16.268282,0.019851076796990132,15.785878,0.01941839952210274
276.9254221,-26.66095383,19.581009,0.038019070004407005,18.587118,0.015622292277383624,18.015382999999996,0.01803018372063912,17.435657,0.019419052088091217
276.92745287,-26.66143887,19.548076000000002,0.036060129339756955,18.508552,0.0169717845850105,17.912011999999997,0.019211059314884225,17.312548,0.01941838633872547
276.93269837,-26.65972488,19.580855999999997,0.1686085472803796,18.608112,0.11962842297715036,18.047871999999998,0.11998046445150977,17.506487999999997,0.11021612774907308
276.93356709,-26.66670796,19.360215,0.1471152001664002,18.65793,0.111667895475826,18.244704999999996,0.11204183705205836,17.849695,0.10526342726702374
276.93393056,-26.66130277,18.064562,0.03573871116870333,16.826924,0.01562151798001718,16.122694,0.018029135447935378,15.436026000000002,0.018869461465553277
276.93627375,-26.66413732,18.308216,0.036059760675855854,17.023832000000002,0.01627999262899096,16.294192,0.018602677898625238,15.575767999999998,0.018869759934879934
276.93661881,-26.66616111,19.426305000000003,0.14809571544106195,18.64611,0.11962451742013423,18.190535,0.11997437986920373,17.754265,0.11515612720129138
276.93875984,-26.66214119,17.279543,0.03573871116870333,15.971786,0.01562151798001718,15.229441,0.018029135447935378,14.563638999999998,0.018869461465553277
276.93888285,-26.65966713,19.346296,0.036060530057113696,18.239992,0.017693079777133205,17.607151999999996,0.01985120714213622,17.025608000000002,0.018870085532397565
276.94044478,-26.66301324,18.939808,0.036060129339756955,18.082816,0.0169717845850105,17.585496,0.019211059314884225,17.117984,0.01941838633872547
276.94445328,-26.66349869,18.440178999999997,0.036059760675855854,17.546458,0.01627999262899096,17.029173,0.018602677898625238,16.542067,0.018869759934879934
276.94757957,-26.6644756,19.448131000000004,0.1549211536879325,18.670162,0.12261087488473443,18.215797,0.12295315825549175,17.779563,0.11713943554584852
276.95173179,-26.66374905,19.130355000000005,0.0375844631729655,18.18321,0.020001843115073168,17.636884999999996,0.021934338376162613,17.042915,0.01887143534551625
