objid,RA,Dec,r,dr,g,dg,i,di,dupvar,x,y
76112769201272966,276.92012756,-26.572782,18.342,0.113,18.838,0.138,18.154,0.108,2,676.4559641263014,232.44348108771908
76112769202308092,276.92023092,-26.56850978,17.875,0.031,18.815,0.021,17.663,0.012,2,675.7542957924201,204.9272619586236
76112769229813941,276.9229819,-26.57196909,18.275,0.115,18.861,0.148,18.035,0.108,2,659.991685210147,227.25777537175804
76112769331809521,276.9331809,-26.56731898,17.202,0.012,17.792,0.012,16.938,0.011,2,601.1158326739198,197.48868885557295
76112769365357069,276.93653502,-26.5693627,17.472,0.012,18.145,0.01,17.19,0.012,2,581.8441977502181,210.7138082129818
76112769390738947,276.93907386,-26.56779745,17.217,0.011,17.868,0.014,16.933,0.01,2,567.1770200347673,200.67845565112424
76112769428320331,276.94283218,-26.57497762,16.518,0.01,17.163,0.012,16.254,0.01,2,545.7109530875637,246.996631799263
76112769431912164,276.94319191,-26.57344992,18.143,0.106,18.742,0.121,17.895,0.103,2,543.598829792449,237.16318075411294
76112769437934331,276.94379334,-26.57164402,18.073,0.01,18.894,0.013,17.707,0.017,2,540.0869527054433,225.54231269557772
76112769449752403,276.94497536,-26.57325096,18.264,0.12,18.931,0.16,17.976,0.112,2,533.3191834165999,235.91493086297942
76112769479244826,276.94792402,-26.57123136,18.439,0.134,18.582,0.172,18.458,0.126,2,516.2789035671848,222.96172221410495
76112769481658599,276.94816505,-26.56808758,17.497,0.04,18.297,0.011,17.31,0.01,2,514.807721582514,202.7166995129365
76112769519914878,276.95199129,-26.57118803,17.02,0.01,17.9,0.01,16.621,0.011,2,492.8457717284695,222.7596038032309
76112769538337574,276.95383313,-26.56894132,17.924,0.013,18.72,0.013,17.551,0.011,2,482.17506855587004,208.3233094976648
76112769561107330,276.9561105,-26.56914537,17.305,0.012,18.058,0.012,16.969,0.01,2,469.0600728179122,209.68124186413922
76112769567103518,276.95671041,-26.57232125,16.772,0.01,17.943,0.011,16.259,0.012,2,465.6886567914228,230.14908939149672
76122768851553039,276.88515577,-26.56438734,18.14,0.016,18.678,0.021,17.89,0.021,2,877.7360590090013,177.7846563735655
76122768872082051,276.88720897,-26.56521054,18.433,0.012,18.973,0.018,18.21,0.012,2,865.9257032957353,183.11999622960292
76122769053281717,276.90532859,-26.56548894,17.804,0.025,18.502,0.021,17.505,0.011,2,761.5375787812932,185.21241685628917
76122769153033821,276.91530308,-26.56373572,16.285,0.037,17.166,0.011,16.003,0.015,2,704.0273310648525,174.09065232168678
76122769184645334,276.91846457,-26.56247502,18.327,0.13,18.725,0.209,18.196,0.111,2,685.7811971677263,166.025419254011
76122769216979442,276.921697,-26.55905193,18.399,0.109,18.259,0.132,18.583,0.104,2,667.0720176399274,144.03359082122427
76122769241236407,276.92412374,-26.5615808,17.2,0.012,18.097,0.015,16.762,0.01,2,653.1531648463551,160.36542566511525
76122769271610618,276.92716143,-26.56640461,17.823,0.026,18.674,0.017,17.594,0.011,2,635.772814716356,191.4905176197147
76122769340033722,276.93400306,-26.56381846,17.941,0.108,18.679,0.131,17.612,0.103,2,596.2896610983423,174.95625162949727
76122769366133164,276.93661365,-26.56428347,17.964,0.013,18.819,0.015,17.592,0.015,2,581.260729204474,177.999144356256
76122769409284913,276.94092836,-26.56282566,16.018,0.01,16.957,0.013,15.531,0.011,2,556.3639324293207,168.68865871006142
76122769458651693,276.94586552,-26.56550944,17.912,0.013,18.609,0.015,17.58,0.013,2,527.9885053682146,186.06728823721488
