night,flag,copy_from,delta_days
2025-02-06,flag_b,2025-02-05,-1.0
2025-02-10,flag_b,2025-02-09,-1.0
2025-02-11,flag_b,2025-02-12,1.0
2025-02-14,flag_b,2025-02-15,1.0
2025-02-20,flag_b,2025-02-19,-1.0
2025-06-13,flag_b,2025-06-14,1.0
2025-06-21,flag_b,2025-06-20,-1.0
2025-08-23,flag_b,2025-08-22,-1.0
2025-08-25,flag_b,2025-08-24,-1.0
2025-10-14,flag_b,2025-10-13,-1.0
2025-10-16,flag_b,2025-10-15,-1.0
2025-10-27,flag_b,2025-10-28,1.0
2026-02-14,flag_b,2026-02-13,-1.0
